concept,prerequisites,context
activation function,"activation values, hidden layer, hidden unit, logistic function, neural network, sigmoid function",machine learning
back prop,"activation function, activation values, bias unit, classification problem, features, derivative term, error cost function, forward propagation, global optimum, gradient descent, hidden layer, hidden unit, hypothesis, input layer, input units, learning method, learning rate, linear regression, local minimum, local optima, logistic function, logistic regression, loss function, multi-class classification, neural network, matrix, optimization algorithms, output layer, output unit, parameter vector, partial derivative, squared error, training data, training data set",machine learning
forward propagation,"activation function, activation values, bias unit, classification problem, features, derivative term, error cost function, feature vector, hidden layer, hidden unit, hypothesis, input layer, input units, learning method, logistic function, logistic regression, loss function, matrix vector multiplication, neural network, nonlinear hypotheses, matrix, optimization algorithms, output label, output layer, output unit, parameter vector, partial derivative, sigmoid function, training data, training data set, vector multiplication",machine learning
activation values,"hidden layer, hidden unit, neural network",machine learning
adaboost,"boosting algorithm, learning method, machine learning, machine learning algorithm, negative example, positive data, training data, training error, weak classifier",machine learning
agglomerative clustering,"cluster, clustering algorithm, data set, hierarchical clustering, k means",machine learning
anomaly detection,"anomalous example, data set, labeled data, learning method, learning problem, learning system, machine learning, machine learning algorithm, machine learning system, negative example, non-anomalous examples, positive data, positive training example, supervised learning, training data, training data set, unsupervised learning",machine learning
anomalous example,"data set, labeled data, training data, training data set",machine learning
neural network learning,"back prop, classification problem, features, derivative term, forward propagation, global optimum, gradient descent, hidden layer, hidden unit, hypothesis, input layer, input units, learning method, linear regression, local minimum, local optima, logistic regression, loss function, multi-class classification, neural network, matrix, optimization algorithms, partial derivative, training data, training data set",machine learning
batch gradient descent,"big data sets, derivative term, global minimum, global optimum, gradient descent, hypothesis, iterative algorithm, learning method, learning problem, linear algebra, local optima, loss function, optimization algorithms, optimization objective, partial derivative, squared error",machine learning
learning rate,"batch gradient descent, gradient descent, machine learning, optimization algorithms",machine learning
mini-batch gradient descent,"batch gradient descent, gradient descent, training data, training data set",machine learning
mini-batch size,"batch gradient descent, gradient descent, mini-batch gradient descent",machine learning
bayesian inference,"bayesian approach, conditional distribution, data set, joint model probability, learning method, learning problem, machine learning, machine learning algorithm, maximum likelihood, maximum likelihood estimate, model parameters, probabilistic model",machine learning
bayesian approach,"log likelihood, maximum likelihood, maximum likelihood estimate",machine learning
gibbs sampler,"bayesian inference, features, conditional distribution, data set, gaussian density, joint model probability, maximum likelihood, maximum likelihood estimate, prior probability, probabilistic model",machine learning
latent dirichlet allocation,"bayesian inference, features, conditional distribution, data set, joint model probability, learning method, learning problem, loss function, machine learning, machine learning algorithm, matrix, optimization algorithms, prior probability, probabilistic model",machine learning
cross validation error,"bias problem, classification error, cross validation, cross validation sets, data set, error analysis, generalization error, learning problem, machine learning, prediction error, test data, test data set, test error, training data, training data set, training error, validation error, validation set, variance problem, overfitting, underfitting",machine learning
bias problem,"data set, evaluation metrics, generalization error, hypothesis, learning method, learning problem, learning system, loss function, machine learning, massive training set, model selection, supervised learning, test data set, test error, training data, training data set, training error",machine learning
learning curve,"bias problem, cross validation, cross validation error, error analysis, evaluation metrics, global minimum, precision, recall, learning problem, machine learning, optimization objective, test data set, test error, training data, training data set, training error",machine learning
regularization,"bias problem, bias variance trade-off, binary classification, classification error, feature vector, linear algebra, local minimum, local optima, minimization problem, misclassification error, model parameters, matrix, optimal solution, optimization objective, optimization problem, parameter vector, polynomial terms, supervised learning, variance problem, overfitting, underfitting",machine learning
bias unit,"hidden layer, hidden unit, input layer, input units, neural network, parameter vector",machine learning
bias variance trade-off,"data set, error analysis, generalization error, recall, input data, learning method, learning problem, learning system, loss function, machine learning, machine learning algorithm, machine learning system, model complexity, model selection, prediction error, test data, test data set, test error, training data, training data set, training error, tuning parameter, validation set, overfitting, underfitting",machine learning
big data sets,data set,machine learning
deep learning,"big data sets, classification problem, features, data representation, data set, deep features, feature extraction, learning method, learning problem, linear classifier, machine learning, machine learning algorithm, neural network, partial derivative, training data, training data set",machine learning
deep neural network,"big data sets, features, data representation, data set, deep features, labeled data, learning method, linear classifier, machine learning, neural network, training data",machine learning
document retrieval,"big data sets, data set, learning problem, machine learning",machine learning
neural network,"big data sets, binary classification, classification approach, classification problem, features, data representation, data set, deep features, feature extraction, feature space, feature vector, global minimum, gradient descent, precision, recall, hypothesis, inner product, input data, labeled data, learning method, learning problem, learning rate, learning system, linear classifier, linear regression, logistic function, logistic regression, loss function, machine learning, machine learning algorithm, machine learning system, massive training set, matrix factorization, minimization problem, multi-class classification, negative example, nonlinear hypotheses, matrix, optimal solution, optimization algorithms, optimization objective, optimization problem, parameter vector, partial derivative, positive class, positive data, regularization, sigmoid function, stochastic gradient algorithm, supervised learning, test data, test data set, training data, training data set",machine learning
recommender system,"big data sets, features, data set, learning problem, learning system, machine learning application, machine learning system",machine learning
